"time","CNA","EAS","ECA","ENA","ESB","GIC","MED","NCA","NEAF","NEN","NEU","NWN","NWS","NZ","SAH","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
4300,-0.180818272932979,-0.423321713235203,-0.0367205150085296,0.300802238773608,0.159848482980263,-0.0685913986140271,0.343951282494038,0.274743335430741,1.30681015095481,-0.122859451350928,-0.189297780902807,0.312045127866372,0.178777648794838,0.184876531670259,-0.27464784939304,-1.94630869375187,0.150612168699483,-0.192716034337897,0.187586507083708,-0.756334259244855,-1.10501825534524,0.265267539741533,0.0591320205974456,-0.00226547628384008,0.186755292816432
4400,-0.301934912436863,-0.653157318047125,0.449727427190364,0.453877555803803,0.302695994616263,-0.274636466698639,0.206855689466934,0.448177891619532,1.30681015095481,-0.298188911178996,0.0114974049953284,-0.0306757640318844,0.348411108774203,0.166881020648025,-0.349772644265466,-1.76350326425827,0.606062248524044,-0.120601166580804,0.0721387816521016,-0.463013960450187,-0.966805571933746,0.150263306147607,0.038625529651161,0.0135585352972825,0.271461673627182
4500,-0.228052750424419,-0.59572198025201,-0.0525763141123553,0.320188483943671,0.0697294165786585,-0.249997659317559,0.289843999796858,0.241230143240796,0.93783996530609,0.0566109123260399,-0.201627355565625,0.224163015515926,0.341259547573041,-0.12895359985403,-0.910946454877676,-1.92657874574803,0.701684291803996,-0.315436402428158,0.879755825671436,0.0739177104897372,-0.568185709031518,0.104347461860797,-0.0992356125639458,0.160668107173241,0.294401068236649
4600,-0.385112307127291,-0.603027519882106,0.0818191760894885,0.320375010040618,0.159309998837229,0.0500701897206553,-0.0822892297213547,0.348025550188337,0.804723902397136,0.385287848014145,-0.214536177519657,0.278548143632149,0.199967369151308,-0.282353205802196,-0.716255090462246,-1.88041406525784,0.42156569757422,-0.169231390173537,0.46179259907805,-0.165309967799121,-0.762327568937946,-0.105045560153184,-0.0450341003636114,0.224997281672534,0.515073272503793
4700,-0.43069407701081,-0.173320361207194,-0.069226177613903,0.406077921732847,0.670998096676652,0.158948174777119,0.0358696691433742,0.18633909120105,0.783894223821754,0.295898212110711,-0.111354655183148,0.474847888400518,-0.276177205618033,0.094168577282802,0.0292713719260382,-1.8016397080118,-0.613548567463717,0.37445658179211,0.688646756700727,-0.402117316952777,-0.489196186683298,-0.180908902293298,0.00965762292645653,-0.0157226231401079,0.184833842972415
4800,-0.419056636486337,-0.238192998100705,-0.0816047890635387,0.281485564572412,0.82805016047251,0.195377930477988,-0.186810956683969,0.364374625543106,1.10305700539686,0.229275251209941,0.0531223447975177,0.395986837711937,-0.614168155622397,0.268367298302817,0.11729202792746,-1.86045598310238,-0.359863601045426,0.201412694044423,0.637770551311582,-0.0117033347175575,0.122845944689673,0.0573478875945333,0.0286879154796264,0.0449863268728664,-0.0063952489354346
4900,-0.648078520083303,0.0448037098951668,0.257958323761624,0.168952803213531,0.761865586163653,0.0427516657424742,0.0742639884154288,-0.00888472382305892,0.722355796527681,-0.270034269902414,-0.0998881045080818,0.321228672617688,-0.691750686915156,0.512228244895407,-0.00103133884470497,-2.15375788993895,-0.0371233153739543,0.521912515298222,0.510855987878592,0.668934799944033,0.330077655745131,0.143163141542274,-0.133938972698679,0.0639728609587426,-0.143083109603354
5000,-0.455549150451446,-0.0741376131238423,0.529871081501938,0.0187891237492616,1.00664807196396,0.470448352449884,0.0138538747669273,0.172965462683924,1.19764584807064,-0.540628969006883,-0.238632508351319,0.426342466681494,-0.481982551732783,0.650240865393539,0.0708954389586386,-1.58954419558716,0.0516376232036111,0.057787260419207,0.123524438675895,0.945812503512096,-0.037692625324028,0.212052386034892,-0.281332433864749,0.045988570862371,0.0794530233505412
5100,-0.348725499190821,-0.0393232245069226,0.488377461146158,0.197661672858643,1.11861003809989,0.832272129134715,-0.166696540578535,-0.0372957645816177,1.92489940369121,-0.344312967829311,-0.340414706322024,0.389818418363934,-1.1727266769314,0.529244524121753,0.426253126304136,-1.75218606995086,0.10329211290331,0.0361390359984363,-0.303349580551897,1.28101119642208,0.00954896677167369,-0.412477987844599,-0.414441550285523,-0.0462877628003498,-0.560273406627834
5200,-0.139699585660006,0.337570839944027,0.657731101449515,0.170587298439479,0.728287225096992,0.559301588863735,-0.227621948442365,0.42491496939715,1.94272117809954,-0.376830182910191,-0.118473849909072,0.56706619540544,-0.869316441951405,0.719551306746983,0.329492794497043,-1.61567439384725,0.281804952327767,-0.000152440457981563,-0.144371477723043,1.10977037495269,0.426124664492133,-0.371277203173467,-0.374400695481212,0.0558804562417861,-0.461949131559647
5300,-0.199719856864179,0.416271437203594,0.414868382274533,0.313874087954737,0.666176439526521,0.0637258759910534,-0.0775665220224401,0.393245970069957,1.95263045911799,-0.222859080448707,0.0596909437998233,0.633189629090335,-0.800899834774957,0.19919310118022,0.223206891952716,-2.25394990699612,0.580580432985647,0.209369041628707,0.236147918539227,0.886787287158858,0.635242055176494,-0.205512284686716,-0.194544071388273,0.113460842809349,-0.653775748856482
5400,-0.351104310466354,0.459785010175305,0.826026335455361,0.0716782900544096,0.844741092140561,0.228239612416681,-0.11465155591716,0.0872884484859176,2.79495062375057,-0.42687653999196,-0.059798829278378,0.378464191337755,-0.515359109033537,0.0191579195902503,0.137633578184344,-1.89873783493485,0.747710616659852,-0.101161705927941,0.53202178537794,0.675752642880599,0.984111734184898,-0.00914540421087613,-0.27620271261601,0.0646532057696259,-0.790710781573714
5500,-0.645823624081979,0.471245164066521,0.867483375107355,-0.119851638159947,0.57165823527971,-0.131189185791656,0.021045532499054,0.0451197808336032,3.62343874151111,-0.752694778457713,-0.235384757212542,0.143396370084572,-0.605312771662764,0.0826900763058156,0.720146516025463,-1.52499244571902,0.832816337729706,0.154003473177573,0.572652892061431,0.132994973981455,0.937902994668912,-0.100918222461398,0.0526189198279132,-0.00664983072045141,-0.320818899321545
5600,-0.794747045834428,0.800381526531567,1.01528271949453,-0.0924408396441933,-0.634768325526843,-0.422783519020192,0.19467697492532,0.27907359166876,2.71061306932926,-0.274991063517155,-0.281517542410431,0.436868569552454,-0.236961719317675,-0.102796576826856,0.879467613027628,-1.09295726305418,1.86504316198947,-0.076251222396257,-0.143405887992517,0.310981164887617,0.789321585952645,-0.0884517093563126,0.0413406757703994,-0.0435195092296464,-0.273154848425945
5700,-0.528003546641047,0.765852725109821,0.489195602728883,-0.224827705249532,-1.07262458582173,0.0116955346330805,0.148069820920483,1.02253659020385,1.78113155069088,-0.2208505611994,-0.140121865374224,0.296787008053606,-0.660353373670789,-0.230804266529939,0.708374498164866,-0.745473660817627,1.05270644080765,0.128234049929675,0.975147730515884,0.435100934321953,1.25490739304011,0.533199583560337,0.215641241844676,-0.0731161874030298,0.061215557170999
5800,-0.253317650992167,0.984951684183537,0.414801944027374,-0.259228725969738,-0.131879913846436,0.00473216479339539,-0.135640471395146,0.719479760880525,2.0023967412805,-0.396959376457338,0.239750242828471,0.00467258063300559,-0.946444172808208,0.322360444482179,0.945506575311042,-0.235530593638588,0.433566306453848,0.352590943976379,0.809449746375139,0.604884507837456,0.576985731243497,0.433411476405647,0.348856115467878,-0.283238756659248,0.0789112226045744
5900,0.0606340468734059,0.876075449408361,0.784011764101036,-0.503447278052094,0.939852430494848,-0.616884669454817,-0.156372206095766,0.592451159683509,2.28090634151088,-0.87211137394091,0.0985009686920464,0.104219793623194,-0.932983096669495,0.368083374735172,1.32416342463999,-0.0412264189484461,0.386615885731339,0.370679717889131,0.329242231646453,0.465595508692365,0.60275606174784,0.424220079604074,-0.0654102079809052,-0.372118837463679,-0.180109704896795
6000,-0.302771630795222,1.17063336234268,0.768562567422106,-0.628433158450718,0.545307349553607,-0.807428615979133,-0.154824898814684,0.468429496157442,3.95853099734562,-0.425051382967253,-0.0222010424769482,-0.0100534063538703,-1.16804424653377,0.398076330101118,1.28413362036128,-0.499795317602712,0.313037696318362,0.256287889172359,-0.143896634267019,0.503991635355669,0.596214970572053,0.749183238455581,0.245742964598669,-0.54438904756056,-0.533277196590554
6100,-0.00967881177677755,1.26516439780803,0.475809547405539,-0.56366053595965,0.83180986855715,-0.674817566762894,0.0752344247636059,0.54191921851306,2.27847606979414,-0.470178606192984,-0.00948041324129535,-0.202041086768637,-1.13514091677504,-0.413777444800906,0.401274981211873,-0.367310753945233,0.56589678431917,0.514076052181713,-0.163117105594719,0.849444566368763,0.556420393347077,0.807337699058162,0.0255817533513617,-0.39698597224697,-0.487032758075683
