"","DOI","Year","Author","references"
"325","Juhasz, I., 2002. Reconstitution palynologique de la vegetation depuis le Tardiglaciaire dans la region de Zala, sud-est de la Hongrie. [Palynological Reconstruction of the Lateglacial and Holocene Vegetation in South-west Hungary]. Doctoral dissertation. University of Aix-Marseille III (Marseille, France) and University of Pecs (Pecs, Hungary).","2002","Juhasz","Juhasz, I., 2002. Reconstitution palynologique de la vegetation depuis le Tardiglaciaire dans la region de Zala, sud-est de la Hongrie. [Palynological Reconstruction of the Lateglacial and Holocene Vegetation in South-west Hungary]. Doctoral dissertation. University of Aix-Marseille III (Marseille, France) and University of Pecs (Pecs, Hungary)."
"326","10.1016/0031-0182(95)00070-3","1995","Julian M. Szeicz and Glen M. MacDonald and Alejandra Duk-Rodkin","Szeicz, J. M., MacDonald, G. M., & Duk-Rodkin, A. (1995). Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2–4), 351–371. https://doi.org/10.1016/0031-0182(95)00070-3"
"327","10.1016/j.quaint.2017.06.075","2017","Jun-Yun Li and Hong-Chun Li and Ting-Yong Li and Horng-Sheng Mii and Tsai-Lune Yu and Chuan-Chou Shen and Xiaomei Xu","Li, J.-Y., Li, H.-C., Li, T.-Y., Mii, H.-S., Yu, T.-L., Shen, C.-C., & Xu, X. (2017). High-resolution δ18O and δ13C records of an AMS 14C and 230Th/U dated stalagmite from Xinya Cave in Chongqing: Climate and vegetation change during the late Holocene. Quaternary International, 447, 75–88. https://doi.org/10.1016/j.quaint.2017.06.075"
"328","10.1016/j.quascirev.2017.03.013","2017","Juzhi Hou and William J. D{\textquotesingle}Andrea and Mingda Wang and Yue He and Jie Liang","Hou, J., D’Andrea, W. J., Wang, M., He, Y., & Liang, J. (2017). Influence of the Indian monsoon and the subtropical jet on climate change on the Tibetan Plateau since the late Pleistocene. Quaternary Science Reviews, 163, 84–94. https://doi.org/10.1016/j.quascirev.2017.03.013"
"329","10.1017/S0033822200002083","1975","K L Eldridge and J J Stipp and S J Cohen","Eldridge, K. L., Stipp, J. J., & Cohen, S. J. (1975). University of Miami Radiocarbon Dates III. Radiocarbon, 17(2), 239–246. https://doi.org/10.1017/s0033822200002083"
"330","10.1130/B25847.1","2007","K. D. Adams","Adams, K. D. (2007). Late Holocene sedimentary environments and lake-level fluctuations at Walker Lake, Nevada, USA. Geological Society of America Bulletin, 119(1–2), 126–139. https://doi.org/10.1130/b25847.1"
"331","10.1139/b87-248","1987","K. D. Bennett","Bennett, K. D. (1987). Holocene history of forest trees in southern Ontario. Canadian Journal of Botany, 65(9), 1792–1801. https://doi.org/10.1139/b87-248"
"332","10.2307/2261522","1993","K. Gajewski and S. Payette and J. C. Ritchie","Gajewski, K., Payette, S., & Ritchie, J. C. (1993). Holocene Vegetation History at the Boreal-Forest--Shrub-Tundra Transition in North-Western Quebec. The Journal of Ecology, 81(3), 433. https://doi.org/10.2307/2261522"
"333","10.2307/1551288","1992","K. Gajewski and Silvina Garralla","Gajewski, K., & Garralla, S. (1992). Holocene Vegetation Histories from Three Sites in the Tundra of Northwestern Quebec, Canada. Arctic and Alpine Research, 24(4), 329. https://doi.org/10.2307/1551288"
"334","10.1038/nature11593","2012","K. M. Grant and E. J. Rohling and M. Bar-Matthews and A. Ayalon and M. Medina-Elizalde and C. Bronk Ramsey and C. Satow and A. P. Roberts","Grant, K. M., Rohling, E. J., Bar-Matthews, M., Ayalon, A., Medina-Elizalde, M., Ramsey, C. B., et al. (2012). Rapid coupling between ice volume and polar temperature over the past 150,000 years. Nature, 491(7426), 744–747. https://doi.org/10.1038/nature11593"
"335","10.1016/j.quascirev.2006.02.020","2006","K.J. Brown and R.J. Fitton and G. Schoups and G.B. Allen and K.A. Wahl and R.J. Hebda","Brown, K. J., Fitton, R. J., Schoups, G., Allen, G. B., Wahl, K. A., & Hebda, R. J. (2006). Holocene precipitation in the coastal temperate rainforest complex of southern British Columbia, Canada. Quaternary Science Reviews, 25(21–22), 2762–2779. https://doi.org/10.1016/j.quascirev.2006.02.020"
"336","10.1016/j.gloplacha.2012.04.005","2012","K.M. Saunders and C. Kamenik and D.A. Hodgson and S. Hunziker and L. Siffert and D. Fischer and M. Fujak and J.A.E. Gibson and M. Grosjean","Saunders, K. M., Kamenik, C., Hodgson, D. A., Hunziker, S., Siffert, L., Fischer, D., et al. (2012). Late Holocene changes in precipitation in northwest Tasmania and their potential links to shifts in the Southern Hemisphere westerly winds. Global and Planetary Change, 92–93, 82–91. https://doi.org/10.1016/j.gloplacha.2012.04.005"
"337","10.22498/pages.9.2.5","2001","KA Rasmussen and RD Ricketts and TC Johnson and VV Romanovsky and OM Grigina","Rasmussen, K., Ricketts, R., Johnson, T., Romanovsky, V., & Grigina, O. (2001). An 8,000 Year Multi–proxy Record from Lake Issyk–Kul, Kyrgyzstan. PAGES News, 9(2), 5–6. https://doi.org/10.22498/pages.9.2.5"
"338","10.1111/j.1502-3885.2011.00220.x","2011","KARL-DAG VORREN and CHRISTIN ELDEGARD JENSEN and EILIF NILSSEN","VORREN, K.-D., JENSEN, C. E., & NILSSEN, E. (2011). Climate changes during the last c. 7500 years as recorded by the degree of peat humification in the Lofoten region, Norway. Boreas, 41(1), 13–30. https://doi.org/10.1111/j.1502-3885.2011.00220.x"
"339","10.1111/j.1502-3885.2007.tb01249.x","2007","KARL-DAG VORREN and MAARTEN BLAAUW and STEFAN WASTEG{\AA}RD and JOHANNES VAN DER PLICHT and CHRISTIN JENSEN","VORREN, K.-D., BLAAUW, M., WASTEGÅRD, S., PLICHT, J. V. D., & JENSEN, C. (2007). High-resolution stratigraphy of the northernmost concentric raised bog in Europe: Sellevollmyra, Andøya, northern Norway. Boreas, 36(3), 253–277. https://doi.org/10.1111/j.1502-3885.2007.tb01249.x"
"340","10.1177/0959683619854523","2019","KJ Brown and NJR Hebda and G Schoups and N Conder and KAP Smith and JA Trofymow","Brown, K., Hebda, N., Schoups, G., Conder, N., Smith, K., & Trofymow, J. (2019). Long-term climate, vegetation and fire regime change in a managed municipal water supply area, British Columbia, Canada. The Holocene, 29(9), 1411–1424. https://doi.org/10.1177/0959683619854523"
"341","Kabailiene, M.K., 1986. Methods of pollen and spores analysis. In: Istoriya ozior v SSSR (pp.91-94). Tallin, Estonia (in Russian).","1986","Kabailiene","Kabailiene, M.K., 1986. Methods of pollen and spores analysis. In: Istoriya ozior v SSSR (pp.91-94). Tallin, Estonia (in Russian)."
"342","10.1126/science.175.4026.1069","1972","Karl W. Butzer and Glynn L. Isaac and Jonathan L. Richardson and Celia Washbourn-Kamau","Butzer, K. W., Isaac, G. L., Richardson, J. L., & Washbourn-Kamau, C. (1972). Radiocarbon Dating of East African Lake Levels. Science, 175(4026), 1069–1076. https://doi.org/10.1126/science.175.4026.1069"
"343","10.1016/j.quascirev.2013.10.031","2014","Kassandra Costa and James Russell and Bronwen Konecky and Henry Lamb","Costa, K., Russell, J., Konecky, B., & Lamb, H. (2014). Isotopic reconstruction of the African Humid Period and Congo Air Boundary migration at Lake Tana, Ethiopia. Quaternary Science Reviews, 83, 58–67. https://doi.org/10.1016/j.quascirev.2013.10.031"
"344","10.1002/2015WR017850","2015","Kenneth D. Adams and Robert M. Negrini and Edward R. Cook and Seshadri Rajagopal","Adams, K. D., Negrini, R. M., Cook, E. R., & Rajagopal, S. (2015). Annually resolved late Holocene paleohydrology of the southern Sierra Nevada and Tulare Lake, California. Water Resources Research, 51(12), 9708–9724. https://doi.org/10.1002/2015wr017850"
"345","10.1016/0033-5894(79)90034-6","1979","Kent Van Zant","Van Zant, K. (1979). Late Glacial and Postglacial Pollen and Plant Macrofossils from Lake West Okoboji, Northwestern Iowa. Quaternary Research, 12(3), 358–380. https://doi.org/10.1016/0033-5894(79)90034-6"
"346","10.2307/1940219","1989","Kerry D. Woods and Margaret B. Davis","Woods, K. D., & Davis, M. B. (1989). Paleoecology of Range Limits: Beech in the Upper Peninsula of Michigan. Ecology, 70(3), 681–696. https://doi.org/10.2307/1940219"
"347","10.1016/0031-0182(86)90120-3","1986","Kerry Kelts and Mostafa Shahrabi","Kelts, K., & Shahrabi, M. (1986). Holocene sedimentology of hypersaline Lake Urmia, Northwestern Iran. Palaeogeography, Palaeoclimatology, Palaeoecology, 54(1–4), 105–130. https://doi.org/10.1016/0031-0182(86)90120-3"
"348","Kershaw, A.P., 1976. A Late Pleistocene and Holocene pollen diagramfrom Lynch's Crater, northeastern Queensland, Australia. New Phytologist 77 : 469-498.","1974","Kershaw","Kershaw, A.P., 1976. A Late Pleistocene and Holocene pollen diagramfrom Lynch's Crater, northeastern Queensland, Australia. New Phytologist 77 : 469-498."
"349","10.1016/j.epsl.2007.08.024","2007","Kim M. Cobb and Jess F. Adkins and Judson W. Partin and Brian Clark","Cobb, K. M., Adkins, J. F., Partin, J. W., & Clark, B. (2007). Regional-scale climate influences on temporal variations of rainwater and cave dripwater oxygen isotopes in northern Borneo. Earth and Planetary Science Letters, 263(3–4), 207–220. https://doi.org/10.1016/j.epsl.2007.08.024"
"350","King, G.A., 1986. Deglaciation and vegetation history of western Labrador and adjacent Quebec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","1986Legacy","King","King, G.A., 1986. Deglaciation and vegetation history of western Labrador and adjacent Quebec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"351","Kremenetski, K.V., Borisova, O.K. and Zelikson, E.M., 2000. The Late Glacial and Holocene history of vegetation in the Moscow region. Palaeontological Journal, 34(Suppl. 1), pp.S67-S74.","2000","Kremenetski","Kremenetski, K.V., Borisova, O.K. and Zelikson, E.M., 2000. The Late Glacial and Holocene history of vegetation in the Moscow region. Palaeontological Journal, 34(Suppl. 1), pp.S67-S74."
"352","10.1016/j.yqres.2011.10.001","2012","Kristian Vasskog and {\O}yvind Paasche and Atle Nesje and John F. Boyle and H.J.B. Birks","Vasskog, K., Paasche, Ø., Nesje, A., Boyle, J. F., & Birks, H. J. B. (2012). A new approach for reconstructing glacier variability based on lake sediments recording input from more than one glacier. Quaternary Research, 77(1), 192–204. https://doi.org/10.1016/j.yqres.2011.10.001"
"353","Kuhl, N., 1998. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte in einem Kesselmoor bei Drangstedt, Ldkr. Cuxhaven. Probleme der Kustenforschung im sudlichen Nordseegebiet, 25, pp.303-324 (in German).","1998","Kuhl","Kuhl, N., 1998. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte in einem Kesselmoor bei Drangstedt, Ldkr. Cuxhaven. Probleme der Kustenforschung im sudlichen Nordseegebiet, 25, pp.303-324 (in German)."
"354","10.1016/0031-0182(87)90048-4","1987","Kurt A. Haberyan and Robert E. Hecky","Haberyan, K. A., & Hecky, R. E. (1987). The late Pleistocene and Holocene stratigraphy and paleolimnology of Lakes Kivu and Tanganyika. Palaeogeography, Palaeoclimatology, Palaeoecology, 61, 169–197. https://doi.org/10.1016/0031-0182(87)90048-4"
"355","10.1016/j.quascirev.2019.106001","2019","Kurt H. Wogau and Helge W Arz and Harald N. Böhnel and Norbert R. Nowaczyk and Jungjae Park","Wogau, K. H., Arz, H. W., Böhnel, H. N., Nowaczyk, N. R., & Park, J. (2019). High resolution paleoclimate and paleoenvironmental reconstruction in the Northern Mesoamerican Frontier for Prehistory to Historical times. Quaternary Science Reviews, 226, 106001. https://doi.org/10.1016/j.quascirev.2019.106001"
"356","10.1073/pnas.1609132113","2016","Kurt M. Cuffey and Gary D. Clow and Eric J. Steig and Christo Buizert and T. J. Fudge and Michelle Koutnik and Edwin D. Waddington and Richard B. Alley and Jeffrey P. Severinghaus","Cuffey, K. M., Clow, G. D., Steig, E. J., Buizert, C., Fudge, T. J., Koutnik, M., et al. (2016). Deglacial temperature history of West Antarctica. Proceedings of the National Academy of Sciences, 113(50), 14249–14254. https://doi.org/10.1073/pnas.1609132113"
"357","10.1038/s41598-017-15566-4","2017","Kyoung-nam Jo and Sangheon Yi and Jin-Yong Lee and Kyung Sik Woo and Hai Cheng and Lawrence R. Edwards and Sang-Tae Kim","Jo, K., Yi, S., Lee, J.-Y., Woo, K. S., Cheng, H., Edwards, L. R., & Kim, S.-T. (2017). 1000-Year Quasi-Periodicity of Weak Monsoon Events in Temperate Northeast Asia since the Mid-Holocene. Scientific Reports, 7(1). https://doi.org/10.1038/s41598-017-15566-4"
"358","10.1016/j.epsl.2016.01.007","2016","Kyrstin L. Fornace and Bronwen S. Whitney and Valier Galy and Konrad A. Hughen and Francis E. Mayle","Fornace, K. L., Whitney, B. S., Galy, V., Hughen, K. A., & Mayle, F. E. (2016). Late Quaternary environmental change in the interior South American tropics: new insight from leaf wax stable isotopes. Earth and Planetary Science Letters, 438, 75–85. https://doi.org/10.1016/j.epsl.2016.01.007"
"359","10.1016/j.epsl.2014.10.024","2014","Kyrstin L. Fornace and Konrad A. Hughen and Timothy M. Shanahan and Sherilyn C. Fritz and Paul A. Baker and Sean P. Sylva","Fornace, K. L., Hughen, K. A., Shanahan, T. M., Fritz, S. C., Baker, P. A., & Sylva, S. P. (2014). A 60,000-year record of hydrologic variability in the Central Andes from the hydrogen isotopic composition of leaf waxes in Lake Titicaca sediments. Earth and Planetary Science Letters, 408, 263–271. https://doi.org/10.1016/j.epsl.2014.10.024"
"360","10.1016/j.palaeo.2011.02.030","2011","L. Bruce Railsback and Fuyuan Liang and Juan Ram{\'{o}}n Vidal Roman{\'{\i}} and Aurora Grandal-d{\textquotesingle}Anglade and Marcos Vaqueiro Rodr{\'{\i}}guez and Luisa Santos Fidalgo and Daniel Fern{\'{a}}ndez Mosquera and Hai Cheng and R. Lawrence Edwards","Railsback, L. B., Liang, F., Vidal Romaní, J. R., Grandal-d’Anglade, A., Vaqueiro Rodríguez, M., Santos Fidalgo, L., et al. (2011). Petrographic and isotopic evidence for Holocene long-term climate change and shorter-term environmental shifts from a stalagmite from the Serra do Courel of northwestern Spain, and implications for climatic history across Europe and the Mediterranean. Palaeogeography, Palaeoclimatology, Palaeoecology, 305(1–4), 172–184. https://doi.org/10.1016/j.palaeo.2011.02.030"
"361","10.5194/cp-9-1969-2013","2013","L. Sadori and E. Ortu and O. Peyron and G. Zanchetta and B. Vanni{\`{e}}re and M. Desmet and M. Magny","Sadori, L., Ortu, E., Peyron, O., Zanchetta, G., Vannière, B., Desmet, M., & Magny, M. (2013). The last 7 millennia of vegetation and climate changes at Lago di Pergusa (central Sicily, Italy). Climate of the Past, 9(4), 1969–1984. https://doi.org/10.5194/cp-9-1969-2013"
"362","10.1016/S1040-6182(98)00062-7","1999","L. Scott","Scott, L. (1999). Vegetation history and climate in the Savanna biome South Africa since 190,000 ka: a comparison of pollen data from the Tswaing Crater (the Pretoria Saltpan) and Wonderkrater. Quaternary International, 57–58, 215–223. https://doi.org/10.1016/s1040-6182(98)00062-7"
"363","https://doi.org/10.1016/j.palaeo.2007.10.018","2008","L. Scott and K. Holmgren and T.C. Partridge","Scott, L., Holmgren, K., & Partridge, T. C. (2008). Reconciliation of vegetation and climatic interpretations of pollen profiles and other regional records from the last 60 thousand years in the Savanna Biome of Southern Africa. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(1–2), 198–206. https://doi.org/10.1016/j.palaeo.2007.10.018"
"364","10.1016/j.quascirev.2014.08.010","2014","L.A. Contreras-Rosales and T. Jennerjahn and T. Tharammal and V. Meyer and A. Lückge and A. Paul and E. Schefu{\ss}","Contreras-Rosales, L. A., Jennerjahn, T., Tharammal, T., Meyer, V., Lückge, A., Paul, A., & Schefuß, E. (2014). Evolution of the Indian Summer Monsoon and terrestrial vegetation in the Bengal region during the past 18 ka. Quaternary Science Reviews, 102, 133–148. https://doi.org/10.1016/j.quascirev.2014.08.010"
"365","10.1016/0031-0182(91)90147-J","1991","L.V. Benson and P.A. Meyers and R.J. Spencer","Benson, L. V., Meyers, P. A., & Spencer, R. J. (1991). Change in the size of Walker Lake during the past 5000 years. Palaeogeography, Palaeoclimatology, Palaeoecology, 81(3–4), 189–214. https://doi.org/10.1016/0031-0182(91)90147-j"
"366","Laird, K.R. (1996). A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","1996","Laird","Laird, K.R. (1996). A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"367","Lamb, H., 1980.  Late Quaternary vegetational history of south-  eastern Labrador. Arctic and Alpine Research 12 : 117-135.","1980","Lamb","Lamb, H., 1980.  Late Quaternary vegetational history of south-  eastern Labrador. Arctic and Alpine Research 12 : 117-135."
"368","10.1016/S0277-3791(01)00048-8","2002","Larry Benson and Michaele Kashgarian and Robert Rye and Steve Lund and Fred Paillet and Joseph Smoot and Cynthia Kester and Scott Mensing and Dave Meko and Susan Lindström","Benson, L., Kashgarian, M., Rye, R., Lund, S., Paillet, F., Smoot, J., et al. (2002). Holocene multidecadal and multicentennial droughts affecting Northern California and Nevada. Quaternary Science Reviews, 21(4–6), 659–682. https://doi.org/10.1016/s0277-3791(01)00048-8"
"369","Leroy, S.A.G., Kakroodi, A.A., Kroonenberg, S., Lahijani, H.K., Alimohammadian, H. and Nigarov, A., 2013. Holocene vegetation history and sea level changes in the SE corner of the Caspian Sea: relevance to SW Asia climate. Quaternary Science Reviews, 70, pp.28-47.","2013","Leroy","Leroy, S.A.G., Kakroodi, A.A., Kroonenberg, S., Lahijani, H.K., Alimohammadian, H. and Nigarov, A., 2013. Holocene vegetation history and sea level changes in the SE corner of the Caspian Sea: relevance to SW Asia climate. Quaternary Science Reviews, 70, pp.28-47."
"370","10.1139/b90-139","1990","Les C. Cwynar","Cwynar, L. C. (1990). A late Quaternary vegetation history from Lily Lake, Chilkat Peninsula, southeast Alaska. Canadian Journal of Botany, 68(5), 1106–1112. https://doi.org/10.1139/b90-139"
"371","10.7202/033027ar","2007","Les C. Cwynar and Ray W. Spear","Cwynar, L. C., & Spear, R. W. (2007). Paleovegetation and Paleoclimatic Changes in the Yukon at 6 ka BP. Géographie Physique et Quaternaire, 49(1), 29–35. https://doi.org/10.7202/033027ar"
"372","10.1130/G31575.1","2011","Lesleigh Anderson","Anderson, L. (2011). Holocene record of precipitation seasonality from lake calcite δ18O in the central Rocky Mountains, United States. Geology, 39(3), 211–214. https://doi.org/10.1130/g31575.1"
"373","10.1016/j.gloplacha.2012.05.012","2012","Lesleigh Anderson","Anderson, L. (2012). Rocky Mountain hydroclimate: Holocene variability and the role of insolation, ENSO, and the North American Monsoon. Global and Planetary Change, 92–93, 198–208. https://doi.org/10.1016/j.gloplacha.2012.05.012"
"374","10.1006/qres.2001.2219","2001","Lesleigh Anderson and Mark B. Abbott and Bruce P. Finney","Anderson, L., Abbott, M. B., & Finney, B. P. (2001). Holocene Climate Inferred from Oxygen Isotope Ratios in Lake Sediments, Central Brooks Range, Alaska. Quaternary Research, 55(3), 313–321. https://doi.org/10.1006/qres.2001.2219"
"375","10.1191/0959683605hl889rp","2005","Lesleigh Anderson and Mark B. Abbott and Bruce P. Finney and Mary E. Edwards","Anderson, L., Abbott, M. B., Finney, B. P., & Edwards, M. E. (2005). Palaeohydrology of the Southwest Yukon Territory, Canada, based on multiproxy                 analyses of lake sediment cores from a depth transect. The Holocene, 15(8), 1172–1183. https://doi.org/10.1191/0959683605hl889rp"
"376","10.1016/j.quascirev.2006.04.011","2007","Lesleigh Anderson and Mark B. Abbott and Bruce P. Finney and Stephen J. Burns","Anderson, L., Abbott, M. B., Finney, B. P., & Burns, S. J. (2007). Late Holocene moisture balance variability in the southwest Yukon Territory, Canada. Quaternary Science Reviews, 26(1–2), 130–141. https://doi.org/10.1016/j.quascirev.2006.04.011"
"377","Lespez, L., Clet-Pellerin, M., Davidson, R., Hermier, G., Carpentier, V. and Cador, J.M., 2010. Middle to Late Holocene landscape changes and geoarchaeological implications in the marshes of the Dives estuary (NW France). Quaternary International, 216(1-2), pp.23-40.","2010","Lespez","Lespez, L., Clet-Pellerin, M., Davidson, R., Hermier, G., Carpentier, V. and Cador, J.M., 2010. Middle to Late Holocene landscape changes and geoarchaeological implications in the marshes of the Dives estuary (NW France). Quaternary International, 216(1-2), pp.23-40."
"378","Li, C., Wu, Y. and Hou, X., 2011. Holocene vegetation and climate in Northeast China revealed from Jingbo Lake sediment. Quaternary International, 229(1-2), pp.67-73.","2011","Li","Li, C., Wu, Y. and Hou, X., 2011. Holocene vegetation and climate in Northeast China revealed from Jingbo Lake sediment. Quaternary International, 229(1-2), pp.67-73."
"379","10.1016/j.scib.2020.10.011","2021","Liangcheng Tan and Guanghui Dong and Zhisheng An and R. Lawrence Edwards and Haiming Li and Dong Li and Robert Spengler and Yanjun Cai and Hai Cheng and Jianghu Lan and Rustam Orozbaev and Ruiliang Liu and Jianhui Chen and Hai Xu and Fahu Chen","Tan, L., Dong, G., An, Z., Lawrence Edwards, R., Li, H., Li, D., et al. (2021). Megadrought and cultural exchange along the proto-silk road. Science Bulletin, 66(6), 603–611. https://doi.org/10.1016/j.scib.2020.10.011"
"380","10.1016/j.epsl.2017.11.044","2018","Liangcheng Tan and Yanjun Cai and Hai Cheng and Lawrence R. Edwards and Yongli Gao and Hai Xu and Haiwei Zhang and Zhisheng An","Tan, L., Cai, Y., Cheng, H., Edwards, L. R., Gao, Y., Xu, H., et al. (2018). Centennial- to decadal-scale monsoon precipitation variations in the upper Hanjiang River region, China over the past 6650 years. Earth and Planetary Science Letters, 482, 580–590. https://doi.org/10.1016/j.epsl.2017.11.044"
"381","10.1029/2020GL090273","2020","Liangcheng Tan and Yanzhen Li and Xiqian Wang and Yanjun Cai and Fangyuan Lin and Hai Cheng and Le Ma and Ashish Sinha and R. Lawrence Edwards","Tan, L., Li, Y., Wang, X., Cai, Y., Lin, F., Cheng, H., et al. (2020). Holocene Monsoon Change and Abrupt Events on the Western Chinese Loess Plateau as Revealed by Accurately Dated Stalagmites. Geophysical Research Letters, 47(21). https://doi.org/10.1029/2020gl090273"
"382","10.1016/0033-5894(75)90013-7","1975","Linda B. Brubaker","Brubaker, L. B. (1975). Postglacial Forest Patterns Associated with till and Outwash in Northcentral Upper Michigan. Quaternary Research, 5(4), 499–527. https://doi.org/10.1016/0033-5894(75)90013-7"
"383","10.1016/0033-5894(83)90077-7","1983","Linda B. Brubaker and Harriet L. Garfinkel and Mary E. Edwards","Brubaker, L. B., Garfinkel, H. L., & Edwards, M. E. (1983). A Late Wisconsin and Holocene Vegetation History from the Central Brooks Range: Implications for Alaskan Palaeoecology. Quaternary Research, 20(2), 194–214. https://doi.org/10.1016/0033-5894(83)90077-7"
"384","10.1038/ncomms3908","2013","Linda K. Ayliffe and Michael K. Gagan and Jian-xin Zhao and Russell N. Drysdale and John C. Hellstrom and Wahyoe S. Hantoro and Michael L. Griffiths and Heather Scott-Gagan and Emma St Pierre and Joan A. Cowley and Bambang W. Suwargadi","Ayliffe, L. K., Gagan, M. K., Zhao, J., Drysdale, R. N., Hellstrom, J. C., Hantoro, W. S., et al. (2013). Rapid interhemispheric climate links via the Australasian monsoon during the last deglaciation. Nature Communications, 4(1). https://doi.org/10.1038/ncomms3908"
"385","10.1016/j.quascirev.2013.05.008","2013","Lisa C. Kanner and Stephen J. Burns and Hai Cheng and R. Lawrence Edwards and Mathias Vuille","Kanner, L. C., Burns, S. J., Cheng, H., Edwards, R. L., & Vuille, M. (2013). High-resolution variability of the South American summer monsoon over the last seven millennia: insights from a speleothem record from the central Peruvian Andes. Quaternary Science Reviews, 75, 1–10. https://doi.org/10.1016/j.quascirev.2013.05.008"
"386","Liu, G.X., 1991. Late-Glacial and Postglacial vegetation and association environment in Jianghan Plain. Acta Botanica Sinica, 33(8), pp.581-588 (in Chinese).","1991","Liu","Liu, G.X., 1991. Late-Glacial and Postglacial vegetation and association environment in Jianghan Plain. Acta Botanica Sinica, 33(8), pp.581-588 (in Chinese)."
"387","10.1007/s10933-017-9980-0","2017","Liv Heinecke and Steffen Mischke and Karsten Adler and Anja Barth and Boris K. Biskaborn and Birgit Plessen and Ingmar Nitze and Gerhard Kuhn and Ilhomjon Rajabov and Ulrike Herzschuh","Heinecke, L., Mischke, S., Adler, K., Barth, A., Biskaborn, B. K., Plessen, B., et al. (2017). Climatic and limnological changes at Lake Karakul (Tajikistan) during the last ~29 cal ka. Journal of Paleolimnology, 58(3), 317–334. https://doi.org/10.1007/s10933-017-9980-0"
"388","Lotter, A.F. and Fischer, J., 1991. Vegetation und Flora im Gebiet des Aegelsees (Berner Oberland) im Wandel der Zeit: Vergangenheit, Gegenwart und Zukunft. Mitteilungen der Naturforschenden Gesellschaft Bern NF, 47, pp.77-103 (in German).","1991","Lotter","Lotter, A.F. and Fischer, J., 1991. Vegetation und Flora im Gebiet des Aegelsees (Berner Oberland) im Wandel der Zeit: Vergangenheit, Gegenwart und Zukunft. Mitteilungen der Naturforschenden Gesellschaft Bern NF, 47, pp.77-103 (in German)."
"389","http://dx.doi.org/10.1016/0033-5894(82)90028-X","1982","Louis Scott","Scott, L. (1982). A Late Quaternary Pollen Record from the Transvaal Bushveld, South Africa. Quaternary Research, 17(3), 339–370. https://doi.org/10.1016/0033-5894(82)90028-x"
"390","10.7202/1000067ar","2010","Louise Savoie and Pierre Richard","Savoie, L., & Richard, P. (2010). Paléophytogéographie de l’épisode de Saint-Narcisse dans la région de Sainte-Agathe, Québec. Géographie Physique et Quaternaire, 33(2), 175–188. https://doi.org/10.7202/1000067ar"
"391","10.1016/j.palaeo.2013.06.024","2013","Loïc Truc and Manuel Chevalier and Charly Favier and Rachid Cheddadi and Michael E. Meadows and Louis Scott and Andrew S. Carr and Gideon F. Smith and Brian M. Chase","Truc, L., Chevalier, M., Favier, C., Cheddadi, R., Meadows, M. E., Scott, L., et al. (2013). Quantification of climate change for the last 20,000years from Wonderkrater, South Africa: Implications for the long-term dynamics of the Intertropical Convergence Zone. Palaeogeography, Palaeoclimatology, Palaeoecology, 386, 575–587. https://doi.org/10.1016/j.palaeo.2013.06.024"
"392","10.1029/2012gm001207","2013","M. Berkelhammer and A. Sinha and L. Stott and H. Cheng and F.S.R. Pausata and K. Yoshimura","Berkelhammer, M., Sinha, A., Stott, L., Cheng, H., Pausata, F. S. R., & Yoshimura, K. (2013). An Abrupt Shift in the Indian Monsoon 4000 Years Ago. Geophysical Monograph Series, 75–88. https://doi.org/10.1029/2012gm001207"
"393","10.1006/qres.1997.1906","1997","M. Cristina Pe{\~{n}}alba and Serge Payette","Peñalba, M. C., & Payette, S. (1997). Late-Holocene Expansion of Eastern Larch (Larix laricina[Du Roi] K. Koch) in Northwestern Québec. Quaternary Research, 48(1), 114–121. https://doi.org/10.1006/qres.1997.1906"
"394","10.1038/ngeo605","2009","M. L. Griffiths and R. N. Drysdale and M. K. Gagan and J.-x. Zhao and L. K. Ayliffe and J. C. Hellstrom and W. S. Hantoro and S. Frisia and Y.-x. Feng and I. Cartwright and E. St. Pierre and M. J. Fischer and B. W. Suwargadi","Griffiths, M. L., Drysdale, R. N., Gagan, M. K., Zhao, J. -x., Ayliffe, L. K., Hellstrom, J. C., et al. (2009). Increasing Australian–Indonesian monsoon rainfall linked to early Holocene sea-level rise. Nature Geoscience, 2(9), 636–639. https://doi.org/10.1038/ngeo605"
