"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"308","JR51GC_35.Bendle.2007","T2L_JR51GC_35_uk37_SST_from_uk37",-17.5766,66.5996,"GIC","alkenone",10108.76,93.6799999999998,93.6799999999998,"winterOnly","T","Temp12k"
"309","K2.Fallu.2005","PYT0P81RJWL",-65.9342,58.7347,"NEN","chironomid",6704.176,61,61,"summerOnly","T","Temp12k"
"310","Kaartlamminsuo.Rankama.1988","RyLPf9ScmVz",24.22,60.73,"NEU","pollen",4741.17,76.55,76.525,"annual","T","Temp12k"
"311","KaiteCobreMayor.MartinChivelet.2011","LPDb676e71d",-3.8496,42.7918,"MED","isotope",3899,3,3,"annual","T","Temp12k"
"312","Kansjon.EPD","RwoxLw4fCEO",14.53,57.63,"NEU","pollen",10249.8,389.715,400.3,"annual","T","Temp12k"
"313","KardashinskiSwamp.Kremenetski.1995","R1qHmKcT6AU",32.62,46.52,"WCE","pollen",8915.14,199.09,201.19,"annual","T","Temp12k"
"314","Karujarv.EPD","RDGYulsMSkK",22.2,58.38,"NEU","pollen",7888.73,96.1900000000001,95.22,"annual","T","Temp12k"
"315","Keele.Szeicz.1995","M2Lhapfah89P",-127.62,64.17,"NWN","pollen",10888,275.4,275.4,"annual","T","Temp12k"
"316","Kenosee.Porter.1992","M2L0pm7wjobP",-102.3,49.82,"CNA","pollen",5444,203,203,"annual","T","Temp12k"
"317","KeystoneIronbog.Fall.1985","M2L8o4qa5uuP",-107.03,38.87,"WNA","pollen",8921,311,322,"annual","T","Temp12k"
"318","Kharinei.Jones.2011","R3kXLCnhtdi",62.7507,67.3628,"RAR","chironomid",11479.125,315.816,315.816,"summerOnly","T","Temp12k"
"319","Khatanga-12Lake.Syrykh.2017","RchrJSmu2H9",102,73,"RAR","chironomid",6706.983,223.967,226.231,"summerOnly","T","Temp12k"
"320","KinderlinskayaCave.Baker.2017","WEB6f612252",56.9,54.2,"EEU","isotope",11659,9,10,"winterOnly","T","Temp12k"
"321","Kinnshaugen.Seppa.2009","PYTT5VJ1IP1",10.37,62.02,"NEU","pollen",8766,196,196,"summerOnly","T","Temp12k"
"322","Klotjaernen.Pollen.Sweden","RHTI56Pxs41",16.4044,61.8211,"NEU","pollen",9463.8508,89.8899999999994,92.8149999999996,"winterOnly","T","Temp12k"
