,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
59,AnseSaintMartin.Lespez.2005,lcRayMiuQvVnH9FHzf2,2660,70,3,1260,0.179,0.12,121.42,FALSE,lcRpRRy2Lun5e7mhehc
60,AntelopePlaya.Markgraf.1986,lcR0nuq54y4KULCHPav,11480,570,2,5930,0.179,0.49,63.31,FALSE,lcRq7nYhgAoyVECz9bE
61,AnthonyLake.Long.2019,lcRsxG7rgcxMc4LZa0A,7720,100,5,3690,0.456,0.36,119.46,FALSE,lcR3sov9w8gkovovWRO
62,AntlerPond.Anderson.2010,lcRkAgs4hPIC0vJeccv,1410,10,3,810,0.002,0.63,124.84,FALSE,lcRfT3IP8DZMVhXvpU9
63,AntuSinijarv.Saarse.1995,lcRMYx2SWmBVQ3t8C4u,11630,215,6,3360,0.565,0.39,114.76,FALSE,lcR9Kbd3QGfzma2HRwu
64,ApplemanLake.Gill.2009,lcRJimRgnqLg0Vzp9FQ,10680,240,5,6760,0.082,0.66,92.87,FALSE,lcR0XGcRTczsiUifdV6
65,AralLake.Aleshinskaya.1996,lcRV9x7IHuYDsVsUUp3,11960,395,0,11960,0.138,0.46,67.09,FALSE,lcRUCIYYezrRHEXcG1s
66,ArkutinoLake.Bozilova.1992,lcRnQ5Dhz6sCG1RcqFv,7860,150,4,3310,0.368,0.3,82.93,FALSE,lcRSUcIFwZghdUdDWTs
67,ArkutinoLake.Bozilova.1992,lcRhKO8I4RfihRuCROs,7790,40,6,2690,0.206,0.29,84.92,FALSE,lcRHYVZDy4P1DdYel51
68,Aronde.Gauthier.1995,lcRNG2ljWskipgLNxcx,9740,130,3,4130,0.525,0.42,197.47,FALSE,lcRIxr230PLVJoPnBQQ
69,AronowBog.Beck.2001,lcRPj31gKGy9NFz3I2t,1290,70,3,740,0.119,0.74,134.25,FALSE,lcRjKlbODh6R6DEZgbZ
70,Arrepentimientos.Crausbay.2015,lcR0GLjKwCOoaCyeFoJ,5980,80,8,1920,0.268,0.17,25.27,FALSE,lcRiSA2i4cLUXANU2zQ
