"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
3200,0.597790653917119,-0.99206699111459,-0.103098857048714,0.446778185407256,0.195256809545275,-0.526560677090679,0.506666495435359,-0.233555724839066,-0.0404063127419064,-0.499429290809725,0.389436617101487,-2.69510915597257,0.0910449971114183,0.141961179541348,0.711535342691599,-1.20158967947491,-0.735152676223602,-0.276396901282504,-1.10268184162792,-0.497780865955921,0.298236345326682,0.513622653246902,-0.208733336614426,-0.593591208490771,0.478031504233986,-0.159840183424857,0.369728783092514,0.309344338412367
3300,0.460773655086033,-0.848309787288488,-0.301941113405871,0.501703152923216,0.215405585499138,-0.719213055332748,0.657981186055916,-0.17979513694217,0.175301841506569,-0.842526332473389,0.393591145629453,-3.80397843592662,0.219024435118793,0.336259293309623,0.777051824026216,-1.13765601957206,-0.553373212152859,-0.0927762328007694,-1.17925423877428,-0.413017369211005,0.0242443940231349,0.0518632616640751,-0.138877320716443,-0.474971248359131,0.285452861444662,-0.105899323200658,0.216536897769235,-0.162688304728019
3400,0.33026667927954,-0.812793762944213,-0.0591472938778353,0.608616243352925,0.254135444250583,-0.886636072528325,0.57595273855957,-0.152640568161737,0.00538255658043628,-0.887100339562049,0.219940406585153,-1.25705015124417,0.423640105109807,0.342911068325638,0.480660405413611,-0.872942773441136,-0.488905916532028,0.0718479827892995,-0.799908932662063,-0.385556458459749,0.321891982433555,-0.0267925843928849,0.0324553012210728,-0.367207105755547,0.0514404581717673,0.0284345390170456,0.0365765080896002,-0.237052410405974
3500,0.36878734900795,-0.823033371947453,0.0989686020703602,0.589808898948851,0.525011501239895,-0.973036380265984,0.49672963154325,0.0682930922436821,0.176353064835896,-1.28493994239218,-0.0488512085182197,-2.24690394597214,0.292379723574387,0.179285178377847,0.180245632457797,-0.500096971024777,-0.465239331999998,-0.178750732874164,-0.922314980188588,-0.776562415988652,-0.0749432815522083,-0.185130821664426,-0.61149153224403,-0.240471039012551,-0.0459799596946076,0.116719622459176,0.261983087845778,-0.49398399046436
3600,0.23572758733947,-0.883064762301321,0.127378414736253,0.599612007334797,0.219552061720091,-0.875787756386488,0.0272182912347977,0.175186924010148,0.207785246984323,-1.45462844151992,-0.0143692224930027,-2.3595769724529,0.219872604846277,0.122117651731505,0.27888041419432,-0.452777868694094,-0.465459446022591,-0.0666153926636951,-1.21306570577065,-0.499819771461604,0.152988096412328,0.108989328350551,-0.605546594121649,-0.703423623180875,0.117720902379084,0.0401086613828098,0.214815665772396,-0.232440357758963
3700,0.321187486170325,-0.939714210712265,0.005150155011733,0.677876536035168,-0.0567448222082775,-0.825367738646538,0.213073972018405,0.0454917171921979,0.310844852649441,-1.42574407873676,-0.191547425852915,-2.15835956989885,-0.0381260937029125,0.316386433812921,0.256392973274656,-1.04434556138617,-0.470295436128382,-0.179437716176992,-0.912570259968045,-0.533495508841097,0.164790881260615,-0.0669156501508467,-0.654333768782994,-0.350168363791748,-0.0269658074145658,-0.0681312059214766,0.225802105481366,-0.16336694521455
3800,0.299290493954931,-0.892113373570832,-0.142483693532539,0.443716985997587,-0.26460714439977,-0.928437156104634,0.486893217143145,-0.0502327005718035,0.0701682870899175,-1.05276678881338,-0.0870521364753445,-3.39752132389235,-0.114379832806323,0.282400026714153,0.092215136883163,-0.771589147375563,-0.469974285568626,-0.324904664982023,-0.719772863771919,-0.404700997310025,0.0243218238954262,-0.149730382936494,-0.428922073382214,-0.800286877127323,-0.105652529308632,-0.102555533932115,0.209450941883374,-0.342813203294942
3900,0.204166683699981,-0.748417128074753,-0.234792395176565,0.338206850239229,-0.159499130637572,-0.487556502848004,0.28927475794043,-0.372466594576639,-0.360880749929814,-0.810603052347889,0.131008797231414,-3.35131472096346,0.0207241725499489,0.347416369528841,0.469143944851457,-0.223963579236133,-0.443362013821534,-0.601975159734451,-1.40334194532273,-0.309151651239342,-0.0179801984885853,0.0577850174083079,-0.41045037095107,-0.600707083845615,-0.31083805498977,-0.109326227858739,0.201736409371524,-0.373545813300322
4000,0.0760065539431423,-0.9940318493744,0.0579386664926761,0.051670256301552,0.450821149462108,-0.309207622303714,0.503698250912615,-0.400419847315388,0.0185406336442251,-0.609804669266784,0.178683709979386,-2.92599967620782,0.112287245184576,0.312253030352739,0.12199634873219,0.0480204615581534,-0.293799331028007,-0.598960292378151,-2.12116650660818,-0.571587303292532,0.238660068678821,0.417123439462012,-0.532775580451924,-0.682152616224125,-0.403580330268073,0.100141761503152,0.143986213456091,0.361514051579248
4100,0.138808779854192,-0.878138445535158,0.054976586237873,0.17039707536022,0.237140852712962,-0.40825644964198,-0.114183371570925,-0.308790817125611,0.039552104569929,-0.619357683243619,0.07330101472606,-1.73755226060699,-0.130706498868381,0.53924644774499,0.0924623183211803,-0.189249966131423,-0.300687334940617,-0.430383594803107,-1.34682911738912,-0.253974570335878,0.439828994869486,0.321568486671469,-0.552406354676806,-0.563426685178713,-0.354722724103093,0.0107558488162882,0.0917108890294656,-0.0341962773077849
